Utilizador:u27180,Bruno Gomes,-78.521706,-2.2927094
Utilizador:u65034,Abigail Carvalho,-38.936245,1.599289
Utilizador:u2237,Jesus Carvalho,-61.654106,65.088
Utilizador:u5084,Rafael Fernandes,-85.46111,-17.254059
Utilizador:u86204,Joao Silva,-21.348175,-3.1743927
Utilizador:u23528,Raquel Moreira,-91.11499,-63.08024
Utilizador:u82305,Bruno Gomes,56.753876,-15.528351
Utilizador:u80958,Talita Gomes,-16.96946,66.22078
Utilizador:u56227,Raquel Silva,-17.781204,54.796204
Utilizador:u86629,Bruno Sousa,32.087616,71.59779
Utilizador:u63921,Kaleb Nunes,69.29103,90.34531
Utilizador:u64654,Jose Moreira,16.78936,-55.470432
Utilizador:u62310,Raquel Nunes,17.965591,-61.581974
Utilizador:u27935,Bruno Ferreira,-61.100018,-92.03813
Utilizador:u15715,Ana Nunes,37.680008,-74.05301
Utilizador:u27705,Rebeca Almeida,-80.2428,60.930267
Utilizador:u4463,Artur Moreira,-32.832054,-48.513695
Utilizador:u9208,Isaac Veloso,-0.505455,77.71593
Utilizador:u98378,Liz Pimentel,-96.838234,7.283951
Utilizador:u78999,Beatriz Ferreira,44.3062,-57.462772
Utilizador:u92415,Isaac Oliveira,-10.70594,92.49794
Utilizador:u52058,Ethan Moreira,-8.770271,-13.33252
Utilizador:u545,Beatriz Silva,45.782043,1.1935196
Utilizador:u64393,Ilda Sousa,33.093033,-69.474495
Utilizador:u66351,Joana Santos,-50.68494,53.230957
Utilizador:u54826,Rebeca Sousa,73.238556,54.150284
Utilizador:u10771,Bruno Ribeiro,-95.12317,-12.360519
Utilizador:u46767,Rebeca Ferreira,-6.8234863,31.671326
Utilizador:u78893,Abigail Almeida,-79.63385,80.17084
Utilizador:u77618,Raquel Marques,42.652023,80.958725
Utilizador:u45498,Talita Silva,0.5449524,-41.427765
Utilizador:u81914,Beatriz Veloso,-52.351955,50.206696
Utilizador:u2281,Andre Oliveira,-49.48697,65.095825
Utilizador:u20672,Raquel Oliveira,-95.82808,-98.05826
Utilizador:u19642,Ethan Pinto,23.286682,4.206108
Utilizador:u26563,Mateus Silva,74.728,-62.46465
Utilizador:u2030,Isaac Veloso,-58.04494,-85.38583
Utilizador:u69465,Ethan Ferreira,-14.506943,64.043686
Utilizador:u14071,Ethan Silva,57.379333,9.0093
Utilizador:u16403,Bruno Santos,59.592316,-31.649483
Utilizador:u71946,Isaac Nunes,-96.102196,18.342316
